index,Result
813,1
814,0
815,0
816,1
817,0
818,1
819,1
820,1
821,1
822,1
823,0
824,0
825,0
826,1
827,1
828,0
829,0
830,1
831,0
832,1
833,0
834,1
835,1
836,1
837,1
838,1
839,1
840,1
841,1
842,1
843,0
844,0
845,0
846,0
847,0
848,1
849,0
850,1
851,1
852,1
853,0
854,1
855,0
856,1
857,1
858,1
859,0
860,1
861,1
862,1
863,0
864,0
865,1
866,1
867,0
868,1
869,0
870,1
871,0
872,0
873,0
874,0
875,1
876,1
877,0
878,0
879,0
880,0
881,0
882,0
883,0
884,1
885,1
886,1
887,0
888,0
889,0
890,1
891,0
892,1
893,1
894,0
895,0
896,1
897,1
898,1
899,1
900,0
901,1
902,0
903,0
904,0
905,1
906,1
907,1
908,1
909,0
910,1
911,0
912,0
913,0
914,1
915,0
916,0
917,1
918,0
919,0
920,1
921,1
922,0
923,1
924,1
925,1
926,0
927,1
928,0
929,1
930,1
931,0
932,1
933,1
934,1
935,0
936,1
937,1
938,1
939,0
940,0
941,0
942,1
943,1
944,0
945,1
946,1
947,1
948,1
949,1
950,1
951,1
952,0
953,0
954,0
955,1
956,0
957,0
958,0
959,0
960,0
961,0
962,1
963,0
964,0
965,0
966,1
967,0
968,1
969,0
970,0
971,1
972,0
973,1
974,1
975,0
976,0
977,1
978,1
979,1
980,1
981,0
982,0
983,1
984,0
985,1
986,1
987,0
988,1
989,1
990,0
991,0
992,1
993,0
994,0
995,1
996,0
997,0
998,1
999,1
1000,0
1001,0
1002,0
1003,1
1004,0
1005,0
1006,1
1007,1
1008,1
1009,1
1010,1
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,1
1018,1
1019,0
1020,0
1021,1
1022,0
1023,1
1024,1
1025,0
1026,1
1027,0
1028,1
1029,1
1030,1
1031,1
1032,0
1033,1
1034,0
1035,0
1036,1
1037,1
1038,0
1039,1
1040,1
1041,1
1042,0
1043,1
1044,1
1045,0
1046,1
1047,0
1048,1
1049,0
1050,1
1051,0
1052,1
1053,1
1054,0
1055,0
1056,1
1057,1
1058,0
1059,1
1060,0
1061,1
1062,0
1063,1
1064,1
1065,1
1066,0
1067,1
1068,0
1069,0
1070,0
1071,1
1072,0
1073,0
1074,1
1075,0
1076,1
1077,0
1078,0
1079,0
1080,1
1081,1
1082,0
1083,1
1084,0
1085,0
1086,0
1087,1
1088,1
1089,1
1090,0
1091,0
1092,0
1093,1
1094,1
1095,0
1096,0
1097,0
1098,0
1099,1
1100,0
1101,0
1102,1
1103,1
1104,0
1105,0
1106,1
1107,1
1108,0
1109,1
1110,1
1111,0
1112,1
1113,0
1114,1
1115,0
1116,1
1117,0
1118,1
1119,0
1120,1
1121,0
1122,0
1123,1
1124,1
1125,1
1126,1
1127,1
1128,0
1129,0
1130,1
1131,1
1132,0
1133,1
1134,0
1135,0
1136,1
1137,0
1138,0
1139,1
1140,0
1141,0
1142,0
1143,0
1144,0
1145,1
1146,0
1147,1
1148,0
1149,1
1150,0
1151,1
1152,1
1153,0
1154,0
1155,1
1156,0
1157,0
1158,1
1159,0
1160,1
1161,1
1162,1
1163,0
1164,1
1165,1
1166,1
1167,1
1168,0
1169,0
1170,1
1171,0
1172,1
1173,0
1174,0
1175,1
1176,0
1177,1
1178,0
1179,0
1180,1
1181,0
1182,0
1183,0
1184,0
1185,0
1186,1
1187,1
1188,1
1189,1
1190,1
1191,0
1192,0
1193,0
1194,0
1195,1
1196,1
1197,0
1198,0
1199,1
1200,0
1201,1
1202,1
1203,0
1204,0
1205,0
1206,0
1207,1
1208,1
1209,0
1210,0
1211,1
1212,1
1213,0
1214,0
1215,1
1216,1
1217,1
1218,0
1219,0
1220,0
1221,0
1222,1
1223,1
1224,1
1225,1
1226,1
1227,1
1228,0
1229,1
1230,1
1231,0
1232,0
1233,1
1234,1
1235,1
1236,1
1237,1
1238,1
1239,1
1240,1
1241,1
1242,0
1243,0
1244,1
1245,0
1246,1
1247,1
1248,1
1249,0
1250,1
1251,0
1252,1
1253,0
1254,1
1255,1
1256,0
1257,1
1258,1
1259,1
1260,0
1261,0
1262,0
1263,0
1264,0
1265,1
1266,0
1267,0
1268,0
1269,0
1270,0
1271,0
1272,1
1273,0
1274,1
1275,0
1276,0
1277,1
1278,0
1279,1
1280,1
1281,0
1282,1
1283,0
1284,1
1285,0
1286,0
1287,1
1288,1
1289,0
1290,1
1291,1
1292,0
1293,1
1294,1
1295,0
1296,1
1297,1
1298,1
1299,1
1300,1
1301,1
1302,1
1303,0
1304,1
1305,1
1306,0
1307,1
1308,0
1309,0
1310,0
1311,1
1312,1
1313,0
1314,0
1315,0
1316,1
1317,0
1318,0
1319,0
1320,1
1321,0
1322,0
1323,1
1324,0
1325,0
1326,1
1327,0
1328,1
1329,1
1330,1
1331,0
1332,1
1333,0
1334,0
1335,1
1336,1
1337,0
1338,1
1339,0
1340,0
1341,0
1342,1
1343,1
1344,1
1345,1
1346,0
1347,1
1348,1
1349,1
1350,1
1351,1
1352,0
1353,1
1354,1
1355,1
1356,0
1357,1
1358,0
1359,0
1360,0
1361,1
1362,1
1363,0
1364,1
1365,0
1366,1
1367,1
1368,1
1369,1
1370,0
1371,1
1372,0
1373,1
1374,0
1375,0
1376,0
1377,1
1378,1
1379,1
1380,1
1381,1
1382,0
1383,1
1384,0
1385,1
1386,0
1387,1
1388,0
1389,1
1390,1
1391,0
1392,1
1393,1
1394,0
1395,0
1396,1
1397,1
1398,1
1399,1
1400,1
1401,0
1402,0
1403,1
1404,1
1405,0
1406,1
1407,1
1408,1
1409,1
1410,1
1411,1
1412,0
1413,1
1414,1
1415,1
1416,0
1417,0
1418,0
1419,1
1420,0
1421,0
1422,0
1423,1
1424,1
1425,1
1426,1
1427,0
1428,1
1429,0
1430,0
1431,0
1432,1
1433,1
1434,1
1435,0
1436,0
1437,0
1438,0
1439,1
1440,1
1441,1
1442,0
1443,1
1444,0
1445,1
1446,0
1447,0
1448,1
1449,1
1450,0
1451,0
1452,1
1453,0
1454,1
1455,1
1456,1
1457,1
1458,1
1459,0
1460,1
1461,1
1462,0
1463,1
1464,1
1465,0
1466,0
1467,1
1468,0
1469,1
1470,1
1471,0
1472,1
1473,0
1474,1
1475,0
1476,0
1477,0
1478,1
1479,0
1480,0
1481,0
1482,1
1483,0
1484,1
1485,0
1486,1
1487,0
1488,0
1489,1
1490,1
1491,0
1492,1
1493,1
1494,0
1495,0
1496,1
1497,1
1498,1
1499,0
1500,1
1501,1
1502,1
1503,1
1504,0
1505,1
1506,1
1507,1
1508,0
1509,1
1510,1
1511,1
1512,0
1513,0
1514,1
1515,1
1516,1
1517,1
1518,1
1519,1
1520,0
1521,0
1522,0
1523,1
1524,1
1525,0
1526,1
1527,0
1528,1
1529,0
1530,0
1531,0
1532,0
1533,0
1534,1
1535,0
1536,0
1537,1
1538,1
1539,1
1540,0
1541,1
1542,1
1543,1
1544,1
1545,1
1546,1
1547,0
1548,1
1549,0
1550,1
1551,1
1552,1
1553,0
1554,0
1555,1
1556,1
1557,1
1558,1
1559,1
1560,0
1561,1
1562,1
1563,0
1564,0
1565,1
1566,0
1567,0
1568,1
1569,1
1570,1
1571,1
1572,0
1573,1
1574,1
1575,0
1576,1
1577,0
1578,0
1579,0
1580,0
1581,1
1582,0
1583,0
1584,1
1585,1
1586,0
1587,1
1588,1
1589,1
1590,0
1591,1
1592,0
1593,0
1594,0
1595,1
1596,1
1597,1
1598,1
1599,0
1600,1
1601,0
1602,0
1603,0
1604,1
1605,0
1606,0
1607,1
1608,1
1609,1
1610,1
1611,1
1612,0
1613,1
1614,1
1615,0
1616,0
1617,0
1618,0
1619,0
1620,1
1621,1
1622,0
1623,1
1624,1
1625,0
1626,0
1627,1
1628,0
1629,1
1630,0
1631,1
1632,0
1633,1
1634,1
1635,1
1636,0
1637,0
1638,1
1639,0
1640,0
1641,1
1642,1
1643,1
1644,0
1645,0
1646,1
1647,0
1648,1
1649,0
1650,1
1651,1
1652,0
1653,1
1654,1
1655,0
1656,1
1657,1
1658,1
1659,1
1660,0
1661,0
1662,0
1663,1
1664,1
1665,0
1666,1
1667,1
1668,0
1669,1
1670,0
1671,0
1672,1
1673,0
1674,1
1675,1
1676,0
1677,0
1678,1
1679,1
1680,0
1681,0
1682,1
1683,1
1684,1
1685,1
1686,1
1687,1
1688,1
1689,0
1690,1
1691,1
1692,1
1693,0
1694,0
1695,1
1696,1
1697,0
1698,0
1699,0
1700,1
1701,1
1702,0
1703,0
1704,1
1705,1
1706,0
1707,1
1708,1
1709,0
1710,1
1711,1
1712,0
1713,0
1714,1
1715,0
1716,0
1717,1
1718,0
1719,1
1720,1
1721,1
1722,0
1723,1
1724,1
1725,1
1726,1
1727,0
1728,1
1729,1
1730,0
1731,1
1732,1
1733,1
1734,1
1735,0
1736,0
1737,1
1738,1
1739,0
1740,0
1741,1
1742,1
1743,0
1744,1
1745,1
1746,0
1747,0
1748,1
1749,0
1750,1
1751,0
1752,1
1753,0
1754,0
1755,1
1756,1
1757,0
1758,1
1759,0
1760,0
1761,1
1762,1
1763,1
1764,0
1765,0
1766,0
1767,1
1768,1
1769,0
1770,0
1771,1
1772,0
1773,0
1774,1
1775,1
1776,1
1777,1
1778,1
1779,1
1780,1
1781,1
1782,1
1783,0
1784,1
1785,0
1786,1
1787,0
1788,1
1789,1
1790,0
1791,1
1792,1
1793,0
1794,0
1795,1
1796,1
1797,0
1798,0
1799,1
1800,1
1801,1
1802,1
1803,1
1804,0
1805,0
1806,0
1807,0
1808,1
1809,1
1810,0
1811,0
1812,1
1813,0
1814,1
1815,0
1816,1
1817,1
1818,1
1819,0
1820,0
1821,0
1822,1
1823,0
1824,1
1825,0
1826,1
1827,0
1828,0
1829,1
1830,0
1831,0
1832,1
1833,1
1834,1
1835,1
1836,1
1837,0
1838,1
1839,1
1840,1
1841,0
1842,1
1843,1
1844,1
1845,0
1846,0
1847,1
1848,1
1849,0
1850,1
1851,1
1852,0
1853,0
1854,0
1855,1
1856,0
1857,0
1858,0
1859,0
1860,1
1861,1
1862,1
1863,1
1864,0
1865,0
1866,0
1867,1
1868,0
1869,0
1870,1
1871,0
1872,0
1873,0
1874,0
1875,1
1876,0
1877,0
1878,1
1879,0
1880,0
1881,0
1882,1
1883,1
1884,1
1885,0
1886,0
1887,1
1888,0
1889,1
1890,0
1891,1
1892,1
1893,1
1894,1
1895,0
1896,0
1897,0
1898,1
1899,0
1900,0
1901,1
1902,1
1903,1
1904,1
1905,1
1906,1
1907,0
1908,1
1909,1
1910,1
1911,0
1912,0
1913,0
1914,0
1915,1
1916,1
1917,1
1918,1
1919,0
1920,0
1921,1
1922,0
1923,1
1924,0
1925,0
1926,0
1927,1
1928,0
1929,0
1930,0
1931,1
1932,1
1933,1
1934,0
1935,0
1936,0
1937,0
1938,1
1939,0
1940,1
1941,0
1942,1
1943,1
1944,0
1945,1
1946,1
1947,1
1948,0
1949,0
1950,0
1951,0
1952,0
1953,1
1954,0
1955,0
1956,0
1957,0
1958,1
1959,1
1960,0
1961,0
1962,1
1963,1
1964,0
1965,0
1966,0
1967,1
1968,1
1969,0
1970,0
1971,1
1972,1
1973,1
1974,0
1975,1
1976,0
1977,1
1978,0
1979,0
1980,0
1981,0
1982,1
1983,0
1984,1
1985,1
1986,1
1987,1
1988,1
1989,0
1990,0
1991,0
1992,0
1993,1
1994,1
1995,1
1996,0
1997,1
1998,0
1999,1
2000,0
2001,0
2002,0
2003,0
2004,1
2005,0
2006,0
2007,1
2008,1
2009,0
2010,0
2011,0
2012,0
2013,1
2014,1
2015,1
2016,1
2017,1
2018,1
2019,0
2020,1
2021,0
2022,0
2023,1
2024,0
2025,0
2026,1
2027,0
2028,0
2029,1
2030,1
2031,1
2032,0
2033,1
2034,0
2035,0
2036,1
2037,0
2038,0
2039,0
2040,0
2041,0
2042,1
2043,0
2044,1
2045,0
2046,0
2047,0
2048,1
2049,1
2050,1
2051,0
2052,1
2053,0
2054,1
2055,1
2056,1
2057,0
2058,1
2059,0
2060,1
2061,1
2062,1
2063,0
2064,1
2065,0
2066,1
2067,0
2068,1
2069,1
2070,0
2071,1
2072,1
2073,0
2074,0
2075,0
2076,1
2077,0
2078,1
2079,1
2080,0
2081,1
2082,0
2083,1
2084,0
2085,0
2086,0
2087,1
2088,0
2089,1
2090,0
2091,1
2092,1
2093,1
2094,1
2095,0
2096,0
2097,0
2098,1
2099,1
2100,1
2101,0
2102,0
2103,1
2104,0
2105,0
2106,0
2107,0
2108,0
2109,1
2110,1
2111,1
2112,0
2113,0
2114,0
2115,0
2116,0
2117,1
2118,0
2119,1
2120,1
2121,1
2122,0
2123,0
2124,0
2125,0
2126,0
2127,0
2128,1
2129,0
2130,0
2131,0
2132,0
2133,1
2134,0
2135,0
2136,1
2137,0
2138,1
2139,1
2140,1
2141,1
2142,1
2143,1
2144,1
2145,1
2146,1
2147,0
2148,0
2149,1
2150,0
2151,1
2152,0
2153,1
2154,0
2155,1
2156,0
2157,0
2158,0
2159,0
2160,0
2161,1
2162,0
2163,0
2164,0
2165,0
2166,1
2167,1
2168,0
2169,0
2170,0
2171,0
2172,1
2173,1
2174,0
2175,0
2176,0
2177,0
2178,0
2179,1
2180,1
2181,1
2182,0
2183,0
2184,1
2185,1
2186,0
2187,1
2188,0
2189,0
2190,1
2191,0
2192,1
2193,1
2194,0
2195,1
2196,0
2197,0
2198,0
2199,1
2200,1
2201,0
2202,1
2203,1
2204,1
2205,1
2206,0
2207,1
2208,1
2209,1
2210,1
2211,0
2212,1
2213,0
2214,0
2215,1
2216,1
2217,1
2218,1
2219,1
2220,1
2221,1
2222,1
2223,0
2224,1
2225,1
2226,0
2227,0
2228,1
2229,1
2230,0
2231,1
2232,0
2233,1
2234,1
2235,1
2236,1
2237,1
2238,1
2239,0
2240,1
2241,0
2242,0
2243,0
2244,1
2245,1
2246,1
2247,1
2248,0
2249,0
2250,0
2251,0
2252,1
2253,0
2254,0
2255,0
2256,1
2257,0
2258,0
2259,1
2260,0
2261,1
2262,1
2263,1
2264,1
2265,0
2266,0
2267,0
2268,0
2269,0
2270,0
2271,1
2272,0
2273,1
2274,0
2275,0
2276,0
2277,1
2278,0
2279,0
2280,1
2281,0
2282,0
2283,1
2284,0
2285,0
2286,0
2287,1
2288,1
2289,0
2290,0
2291,1
2292,0
2293,1
2294,0
2295,1
2296,1
2297,1
2298,1
2299,1
2300,1
2301,1
2302,1
2303,0
2304,0
2305,1
2306,0
2307,0
2308,1
2309,1
2310,0
2311,0
2312,1
2313,1
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,1
2321,0
2322,0
2323,1
2324,0
2325,0
2326,1
2327,0
2328,0
2329,0
2330,1
2331,0
2332,1
2333,0
2334,1
2335,1
2336,0
2337,1
2338,0
2339,1
2340,1
2341,1
2342,1
2343,1
2344,1
2345,0
2346,1
2347,0
2348,1
2349,1
2350,0
2351,1
2352,1
2353,1
2354,0
2355,1
2356,1
2357,0
2358,1
2359,0
2360,1
2361,1
2362,0
2363,1
2364,0
2365,1
2366,0
2367,0
2368,0
2369,0
2370,1
2371,0
2372,1
2373,0
2374,1
2375,0
2376,0
2377,0
2378,1
2379,1
2380,1
2381,1
2382,0
2383,1
2384,1
2385,0
2386,1
2387,1
2388,0
2389,1
2390,0
2391,0
2392,0
2393,1
2394,1
2395,0
2396,1
2397,0
2398,1
2399,0
2400,1
2401,0
2402,0
2403,1
2404,0
2405,1
2406,1
2407,0
2408,1
2409,0
2410,0
2411,0
2412,0
2413,1
2414,0
2415,0
2416,1
2417,1
2418,1
2419,0
2420,0
2421,1
2422,0
2423,1
2424,1
2425,0
2426,1
2427,1
2428,0
2429,0
2430,1
2431,1
2432,0
2433,1
2434,1
2435,1
2436,1
2437,1
2438,1
2439,0
2440,1
2441,0
2442,1
2443,1
2444,1
2445,0
2446,1
2447,0
2448,0
2449,0
2450,1
2451,1
2452,0
2453,1
2454,1
2455,1
2456,0
2457,1
2458,0
2459,1
2460,1
2461,0
2462,0
2463,1
2464,1
2465,0
2466,0
2467,0
2468,0
2469,1
2470,1
2471,1
2472,1
2473,0
2474,0
2475,1
2476,0
2477,0
2478,1
2479,1
2480,0
2481,0
2482,1
2483,1
2484,0
2485,0
2486,1
2487,1
2488,1
2489,1
2490,0
2491,0
2492,0
2493,1
2494,1
2495,0
2496,1
2497,0
2498,1
2499,0
2500,1
2501,0
2502,1
2503,0
2504,1
2505,1
2506,0
2507,1
2508,1
2509,1
2510,1
2511,0
2512,1
2513,0
2514,1
2515,0
2516,0
2517,0
2518,0
2519,1
2520,0
2521,0
2522,1
2523,0
2524,0
2525,1
2526,0
2527,1
2528,1
2529,0
2530,1
2531,0
2532,0
2533,1
2534,0
2535,1
2536,0
2537,1
2538,0
2539,1
2540,1
2541,0
2542,1
2543,1
2544,0
2545,1
2546,0
2547,1
2548,1
2549,1
2550,0
2551,1
2552,1
2553,1
2554,1
2555,0
2556,0
2557,1
2558,0
2559,1
2560,1
2561,1
2562,1
2563,1
2564,0
2565,0
2566,1
2567,0
2568,1
2569,0
2570,1
2571,0
2572,0
2573,0
2574,1
2575,1
2576,0
2577,0
2578,1
2579,1
2580,1
2581,0
2582,1
2583,0
2584,1
2585,1
2586,0
2587,0
2588,0
2589,1
2590,1
2591,0
2592,1
2593,1
2594,0
2595,0
2596,0
2597,0
2598,0
2599,0
2600,0
2601,0
2602,0
2603,0
2604,1
2605,1
2606,1
2607,0
2608,1
2609,0
2610,0
2611,1
2612,0
2613,1
2614,1
2615,0
2616,0
2617,1
2618,0
2619,0
2620,1
2621,0
2622,0
2623,0
2624,0
2625,1
2626,0
2627,0
2628,1
2629,1
2630,1
2631,0
2632,0
2633,1
2634,0
2635,1
2636,1
2637,0
2638,0
2639,0
2640,1
2641,0
2642,1
2643,1
2644,1
2645,1
2646,1
2647,1
2648,0
2649,0
2650,0
2651,1
2652,0
2653,0
2654,1
2655,1
2656,1
2657,0
2658,1
2659,0
2660,1
2661,0
2662,0
2663,0
2664,0
2665,0
2666,1
2667,0
2668,1
2669,0
2670,0
2671,1
2672,0
2673,1
2674,0
2675,0
2676,0
2677,1
2678,1
2679,0
2680,1
2681,1
2682,1
2683,1
2684,1
2685,0
2686,1
2687,0
2688,0
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,0
2696,0
2697,1
2698,1
2699,0
2700,0
2701,0
2702,0
2703,1
2704,0
2705,1
2706,1
2707,1
2708,1
2709,0
2710,1
2711,0
2712,0
2713,1
2714,1
2715,0
2716,1
2717,1
2718,1
2719,0
2720,1
2721,0
2722,0
2723,1
2724,1
2725,0
2726,1
2727,1
2728,1
2729,1
2730,1
2731,0
2732,0
2733,1
2734,0
2735,1
2736,0
2737,0
2738,0
2739,1
2740,1
2741,1
2742,1
2743,0
2744,0
2745,0
2746,0
2747,0
2748,1
2749,0
2750,1
2751,0
2752,0
2753,0
2754,1
2755,0
2756,1
2757,0
2758,1
2759,0
2760,0
2761,0
2762,1
2763,1
2764,0
2765,1
2766,1
2767,0
2768,1
2769,1
2770,0
2771,0
2772,1
2773,0
2774,0
2775,0
2776,1
2777,1
2778,0
2779,0
2780,0
2781,0
2782,0
2783,1
2784,0
2785,1
2786,1
2787,1
2788,1
2789,0
2790,0
2791,0
2792,0
2793,1
2794,1
2795,1
2796,1
2797,1
2798,1
2799,0
2800,0
2801,0
2802,1
2803,1
2804,1
2805,1
2806,1
2807,1
2808,1
2809,1
2810,1
2811,1
2812,0
2813,0
2814,0
2815,1
2816,0
2817,1
2818,1
2819,0
2820,0
2821,0
2822,0
2823,0
2824,0
2825,0
2826,0
2827,0
2828,0
2829,1
2830,1
2831,1
2832,1
2833,1
2834,1
2835,0
2836,0
2837,1
2838,1
2839,1
2840,1
2841,1
2842,0
2843,0
2844,1
2845,1
2846,0
2847,1
2848,0
2849,0
2850,1
2851,0
2852,0
2853,0
2854,0
2855,0
2856,1
2857,1
2858,1
2859,1
2860,0
2861,0
2862,1
2863,0
2864,1
2865,1
2866,0
2867,1
2868,0
2869,1
2870,1
2871,1
2872,1
2873,0
2874,1
2875,0
2876,1
2877,0
2878,1
2879,1
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0
2886,0
2887,0
2888,0
2889,1
2890,1
2891,1
2892,0
2893,0
2894,0
2895,1
2896,1
2897,0
2898,0
2899,1
2900,0
2901,1
2902,1
2903,0
2904,1
2905,0
2906,0
2907,1
2908,0
2909,1
2910,0
2911,1
2912,0
2913,0
2914,1
2915,1
2916,1
2917,1
2918,1
2919,0
2920,0
2921,1
2922,0
2923,0
2924,1
2925,0
2926,1
2927,0
2928,1
2929,0
2930,0
2931,0
2932,1
2933,0
2934,1
2935,1
2936,1
2937,0
2938,1
2939,0
2940,1
2941,0
2942,0
2943,0
2944,1
2945,1
2946,0
2947,1
2948,0
2949,1
2950,0
2951,0
2952,0
2953,1
2954,0
2955,0
2956,0
2957,1
2958,1
2959,0
2960,0
2961,0
2962,0
2963,1
2964,0
2965,0
2966,1
2967,1
2968,1
2969,1
2970,0
2971,1
2972,0
2973,1
2974,1
2975,0
2976,0
2977,1
2978,1
2979,1
2980,0
2981,1
2982,0
2983,1
2984,1
2985,1
2986,0
2987,1
2988,0
2989,0
2990,0
2991,0
2992,1
2993,1
2994,0
2995,0
2996,0
2997,0
